_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result,Suspicious_Flag
204,21,203,1751359614861,153,1751366109440.0,6494579.0,True,-1,0,0,0,2,0,2,140.0,0,391,391,132,155,1751366814861.0,21,1,999999,22,True,0,6,38,30,False,999999.0,0,1,6.149453031297485,Anomaly,Anomaly,Suspicious
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,0,7.206789751269301,Anomaly,Anomaly,Suspicious
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,0,6.712166871246047,Anomaly,Anomaly,Suspicious
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,0,8.50690176849704,Anomaly,Anomaly,Suspicious
169,15,168,1751280568164,132,1751354492251.0,73924087.0,True,-1,0,0,0,2,0,0,137.0,0,387,387,60,127,1751287768164.0,10,1,999999,22,False,0,5,44,30,False,999999.0,0,1,6.539852224477321,Anomaly,Anomaly,Suspicious
147,57,146,1751270615656,95,1751271252941.0,637285.0,True,-1,0,0,0,2,1,2,115.0,0,36,36,293,105,1751277815656.0,284,1,85116,11,True,0,356,21,19,False,86283.0,0,0,5.611578960914038,Anomaly,Anomaly,Suspicious
153,57,152,1751277020020,100,1751278029647.0,1009627.0,True,-1,0,0,0,2,1,2,115.0,0,37,37,313,111,1751284220020.0,275,1,85116,11,True,0,358,21,19,False,86283.0,0,0,5.628256472726526,Anomaly,Anomaly,Suspicious
155,57,154,1751278043034,101,1751278248976.0,205942.0,True,-1,0,0,0,2,1,2,115.0,0,29,29,165,113,1751285243034.0,281,1,85116,11,True,0,359,21,19,False,86283.0,0,0,5.612857765974369,Anomaly,Anomaly,Suspicious
156,57,155,1751278259127,102,1751278289190.0,30063.0,True,-1,0,0,0,2,1,2,115.0,0,33,33,240,114,1751285459127.0,276,1,85116,11,True,0,360,21,19,False,86283.0,0,0,5.596002049941199,Anomaly,Anomaly,Suspicious
159,57,158,1751278449651,110,1751279865363.0,1415712.0,True,-1,0,0,0,2,1,2,115.0,0,23,23,93,117,1751285649651.0,277,1,85116,11,True,0,362,21,19,False,86283.0,0,0,5.6924331961274355,Anomaly,Anomaly,Suspicious
79,29,78,1750931973810,104,1751278706933.0,346733123.0,True,-1,0,0,0,2,0,2,139.0,0,44,44,96,53,1750939173810.0,147,1,89515,46,False,0,34,84,67,False,90682.0,0,0,4.713749155137597,Anomaly,Anomaly,Suspicious
163,57,162,1751279877506,111,1751279904545.0,27039.0,True,-1,0,0,0,2,1,2,115.0,0,25,25,6,121,1751287077506.0,273,1,85116,11,True,0,363,21,19,False,86283.0,0,0,5.823665558315901,Anomaly,Anomaly,Suspicious
166,57,165,1751279983382,115,1751280212698.0,229316.0,True,-1,0,0,0,2,1,2,115.0,0,38,38,347,124,1751287183382.0,279,1,85116,11,True,0,365,21,19,False,86283.0,0,0,5.672214417245136,Anomaly,Anomaly,Suspicious
168,57,167,1751280231107,129,1751350835929.0,70604822.0,True,-1,0,0,0,2,1,2,115.0,0,26,26,33,126,1751287431107.0,282,1,85116,11,False,0,366,21,19,False,86283.0,0,0,5.768760145832049,Anomaly,Anomaly,Suspicious
221,54,220,1751426920901,162,1751434146280.0,7225379.0,True,-1,1,0,0,0,0,1,137.0,0,312,312,216,170,1751434120901.0,444,1,106293,14,False,0,168,24,26,False,106161.0,0,0,6.874558875489876,Anomaly,Anomaly,Suspicious
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,0,7.724573699818854,Anomaly,Anomaly,Suspicious
254,54,253,1751460068213,191,1751460251582.0,183369.0,True,-1,1,0,0,0,0,1,137.0,0,300,300,98,201,1751467268213.0,446,1,106293,14,True,0,172,24,26,False,106161.0,0,0,6.971403802613907,Anomaly,Anomaly,Suspicious
256,54,255,1751460581598,193,1751460619960.0,38362.0,True,-1,1,0,0,0,0,1,137.0,0,322,322,332,203,1751467781598.0,440,1,106293,14,True,0,173,24,26,False,106161.0,0,0,7.019772296355314,Anomaly,Anomaly,Suspicious
258,54,257,1751460787691,195,1751460801145.0,13454.0,True,-1,1,0,0,0,0,1,137.0,0,171,171,343,205,1751467987691.0,468,1,3612,33,True,0,389,61,51,False,4779.0,0,0,7.088696443871945,Anomaly,Anomaly,Suspicious
260,54,259,1751482355789,200,1751599142592.0,116786803.0,True,-1,1,0,0,0,0,1,137.0,0,167,167,320,207,1751489555789.0,473,1,3612,33,False,0,391,61,51,False,4779.0,0,0,7.09487631235512,Anomaly,Anomaly,Suspicious
267,123,266,1751606904289,212,1751616796509.0,9892220.0,True,-1,1,0,0,0,0,1,138.0,0,172,172,349,214,1751614104289.0,472,1,3612,33,False,0,393,61,51,False,4779.0,0,0,7.346172996887965,Anomaly,Anomaly,Suspicious
280,15,279,1751618557731,216,1751623443053.0,4885322.0,True,-1,0,0,0,2,0,0,137.0,0,386,386,48,227,1751625757731.0,6,1,999999,22,True,0,20,41,30,False,999999.0,0,1,6.030431587442904,Anomaly,Anomaly,Suspicious
378,28,377,1751874357845,-1,,7200000.0,True,-1,0,0,0,2,0,2,140.0,0,46,46,71,310,1751881557845.0,504,1,89515,46,False,0,38,84,67,False,90682.0,0,0,5.540229776839696,Anomaly,Anomaly,Suspicious
322,56,321,1751707410307,256,1751708818496.0,1408189.0,True,-1,1,0,0,0,0,1,137.0,0,407,407,334,263,1751714610307.0,16,1,999999,22,True,0,25,42,30,False,999999.0,0,1,8.87392252679372,Anomaly,Anomaly,Suspicious
326,127,325,1751708014371,-1,,7200000.0,True,-1,0,0,0,2,0,0,138.0,0,85,85,409,267,1751715214371.0,490,1,94673,34,False,0,252,64,49,False,95840.0,0,0,4.737591137457558,Anomaly,Anomaly,Suspicious
398,62,397,1751969708131,309,1751970338327.0,630196.0,True,-1,0,0,0,2,1,2,115.0,0,39,39,386,320,1751976908131.0,283,1,85116,11,True,0,370,21,19,False,86283.0,0,1,6.164227614044659,Anomaly,Anomaly,Suspicious
362,21,361,1751869591767,314,1751973772649.0,104180882.0,True,-1,0,0,0,2,0,2,140.0,0,389,389,88,299,1751876791767.0,31,1,999999,22,False,0,8,40,30,False,999999.0,0,1,5.666445169426277,Anomaly,Anomaly,Suspicious
405,15,404,1751973772649,317,1751976464295.0,2691646.0,True,-1,0,0,0,2,0,0,138.0,0,397,397,220,327,1751980972649.0,11,1,999999,22,True,0,9,40,30,False,999999.0,0,1,5.78516418027671,Anomaly,Anomaly,Suspicious
406,19,405,1751976464295,318,1751976737826.0,273531.0,True,-1,0,0,0,1,4,0,133.0,0,383,383,3,328,1751983664295.0,480,1,999999,22,True,0,10,40,30,False,999999.0,0,1,7.859498472111776,Anomaly,Anomaly,Suspicious
407,21,406,1751977403374,319,1751978484177.0,1080803.0,True,-1,0,0,0,2,0,2,140.0,0,405,405,297,329,1751984603374.0,27,1,999999,22,True,0,11,40,30,False,999999.0,0,1,5.686724379312804,Anomaly,Anomaly,Suspicious
408,21,407,1751980481919,321,1752138116889.0,157634970.0,True,-1,0,0,0,2,0,2,140.0,0,404,404,295,330,1751987681919.0,20,1,999999,22,False,0,12,40,30,False,999999.0,0,1,5.747068266947547,Anomaly,Anomaly,Suspicious
293,36,292,1751626948732,325,1752230429026.0,603480294.0,True,-1,0,0,0,2,0,2,140.0,0,226,226,54,236,1751634148732.0,215,1,101152,31,False,0,338,59,44,False,102319.0,0,1,4.949716835584836,Anomaly,Anomaly,Suspicious
314,30,313,1751703953829,328,1752486785912.0,782832083.0,True,-1,0,0,0,2,0,2,140.0,0,134,134,99,256,1751711153829.0,173,1,1765,17,False,0,352,30,32,False,2932.0,0,1,6.047706845428353,Anomaly,Anomaly,Suspicious
279,46,278,1751616886527,348,1753424241642.0,1807355115.0,True,-1,0,0,0,2,0,0,137.0,0,174,174,371,226,1751624086527.0,483,1,3612,33,False,0,395,61,51,False,4779.0,0,0,13.351705045565177,Anomaly,Anomaly,Suspicious
450,21,449,1753707074377,352,1753707092469.0,18092.0,True,-1,0,0,0,2,0,2,141.0,0,412,412,404,362,1753714274377.0,35,1,999999,22,True,0,16,40,30,False,999999.0,0,1,5.900417564288662,Anomaly,Anomaly,Suspicious
461,16,460,1753880939208,-1,,,False,1,0,0,0,1,4,0,138.0,0,-1,-1,-1,-1,,48,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,6.049820076831572,Anomaly,Anomaly,Suspicious
464,3,463,1753962798062,366,1753965824078.0,3026016.0,True,-1,0,0,0,2,0,3,138.0,0,71,71,177,373,1753969998062.0,54,1,93359,45,True,0,309,83,64,False,94526.0,0,1,4.6440307884750816,Anomaly,Anomaly,Suspicious
467,50,466,1753987612662,367,1753987625721.0,13059.0,True,-1,0,0,0,2,0,0,138.0,0,218,218,217,376,1753994812662.0,514,1,200013,20,True,1,299,35,18,False,159365.0,0,1,16.283480438940657,Anomaly,Anomaly,Suspicious
485,16,484,1755166693933,381,1755166742893.0,48960.0,True,-1,0,0,0,1,4,0,139.0,0,339,339,18,391,1755173893933.0,476,1,106901,30,True,0,192,58,43,False,106769.0,0,1,6.251025488208276,Anomaly,Anomaly,Suspicious
486,16,485,1755167031465,382,1755167289445.0,257980.0,True,-1,0,0,0,1,4,0,139.0,0,348,348,368,392,1755174231465.0,41,1,106901,30,True,0,193,58,43,False,106769.0,0,1,6.1545534894238205,Anomaly,Anomaly,Suspicious
488,16,487,1755167362648,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,43,1,108525,37,False,0,413,-1,63,False,108389.0,0,2,6.620146021227818,Anomaly,Anomaly,Suspicious
490,16,489,1755169427457,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,345,345,219,393,1755176627457.0,44,1,106901,30,False,0,194,58,43,False,106769.0,0,1,6.799170911069439,Anomaly,Anomaly,Suspicious
498,16,497,1757143170660,386,1757143399437.0,228777.0,True,-1,0,0,0,1,4,0,139.0,0,110,110,256,398,1757150370660.0,51,1,784,9,True,0,285,15,17,False,66.0,0,1,6.610703523873375,Anomaly,Anomaly,Suspicious
502,13,501,1758020531661,-1,,,False,1,0,0,0,2,0,0,140.0,0,-1,-1,-1,-1,,341,1,784,9,False,0,413,-1,17,False,66.0,0,2,4.953165291946517,Anomaly,Anomaly,Suspicious
508,18,507,1758544688882,-1,,,False,1,0,0,0,1,3,0,133.0,0,-1,-1,-1,-1,,515,1,33109,5,False,1,413,-1,9,False,34276.0,0,2,17.37885867945174,Anomaly,Anomaly,Suspicious
509,18,508,1758544801009,-1,,,False,1,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,63,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,7.390429722515727,Anomaly,Anomaly,Suspicious
510,18,509,1758544828379,395,1758612268787.0,67440408.0,True,-1,0,0,0,1,4,0,133.0,0,176,176,358,407,1758552028379.0,62,1,33109,5,False,0,236,8,9,False,34276.0,0,1,7.172966648191994,Anomaly,Anomaly,Suspicious
513,18,512,1758613804440,398,1758613821286.0,16846.0,True,-1,0,0,0,1,4,0,133.0,0,178,178,403,410,1758621004440.0,56,1,33109,5,True,0,238,8,9,False,34276.0,0,1,7.274411000530115,Anomaly,Anomaly,Suspicious
515,18,514,1758613944635,399,1758623149632.0,9204997.0,True,-1,0,0,0,1,4,0,133.0,0,373,373,162,411,1758621144635.0,57,1,117896,44,False,0,96,79,65,False,117685.0,0,1,7.595489254062134,Anomaly,Anomaly,Suspicious
